year,month,day,day_of_week,is_weekend,is_winter,is_spring,is_summer,is_fall,title_length,content_length,keywords_count,kw_không khí,kw_sương mù,kw_cháy,kw_nhà máy,kw_khói,kw_bụi,kw_ô nhiễm không khí,kw_đốt,kw_khí thải,kw_bụi mịn,kw_pm2.5,kw_đốt rơm rạ,kw_khí độc,kw_no2,kw_cháy rừng
2025,2,20,3,0,1,0,0,0,15,3284,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2024,12,20,4,0,1,0,0,0,31,1383,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,12,4,2,0,1,0,0,0,35,3486,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024,12,2,0,0,1,0,0,0,45,4079,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024,11,23,5,1,0,0,0,1,45,928,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024,8,9,4,0,0,0,1,0,39,4324,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024,7,29,0,0,0,0,1,0,57,2891,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024,7,6,5,1,0,0,1,0,54,3445,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7,5,4,0,0,0,1,0,50,5418,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2024,7,4,3,0,0,0,1,0,53,2488,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2024,7,4,3,0,0,0,1,0,56,1808,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,7,3,2,0,0,0,1,0,63,3412,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,7,3,2,0,0,0,1,0,48,1075,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024,7,1,0,0,0,0,1,0,35,4335,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,28,4,0,0,0,1,0,58,6758,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2024,6,28,4,0,0,0,1,0,65,4679,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,26,2,0,0,0,1,0,65,3003,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,26,2,0,0,0,1,0,49,2025,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,25,1,0,0,0,1,0,53,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,24,0,0,0,0,1,0,58,2243,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,22,5,1,0,0,1,0,47,4688,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,21,4,0,0,0,1,0,32,10510,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024,6,20,3,0,0,0,1,0,25,1613,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024,6,19,2,0,0,0,1,0,44,6993,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,17,0,0,0,0,1,0,46,6708,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024,6,17,0,0,0,0,1,0,45,4443,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024,6,16,6,1,0,0,1,0,44,2687,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024,6,14,4,0,0,0,1,0,50,12004,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024,6,14,4,0,0,0,1,0,38,1314,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,13,3,0,0,0,1,0,45,1609,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024,6,11,1,0,0,0,1,0,61,3937,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2024,6,8,5,1,0,0,1,0,46,6559,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,8,5,1,0,0,1,0,46,3224,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,8,5,1,0,0,1,0,35,863,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,6,3,0,0,0,1,0,56,1352,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,6,3,0,0,0,1,0,57,4193,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,5,2,0,0,0,1,0,39,1465,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024,6,5,2,0,0,0,1,0,34,2305,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,5,2,0,0,0,1,0,36,3702,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,3,0,0,0,0,1,0,45,6471,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2024,6,2,6,1,0,0,1,0,55,4686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,6,1,5,1,0,0,1,0,55,2631,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2024,5,31,4,0,0,1,0,0,46,1167,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2024,5,31,4,0,0,1,0,0,55,1675,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,5,31,4,0,0,1,0,0,65,8010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,5,31,4,0,0,1,0,0,55,5723,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,5,30,3,0,0,1,0,0,62,1546,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024,5,30,3,0,0,1,0,0,49,1725,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
